Parameterkürzel,Kurzbeschreibung,Beschreibung,Einheit,Codelist
gew_flag,Qualitätsflag für Gewitter Indikator,"Qualitätsflag für Beobachtung von Gewitter, historisch beobachtet, seit 01.01.2019 aus ALDIS Blitzmeldungen berechnet",code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
glatt,Glatteis Indikator,Beobachtung von Glatteis,bool,"[{'key': 0, 'value': 'nein'}, {'key': 1, 'value': 'ja'}]"
glatt_flag,Qualitätsflag für Glatteis Indikator,Qualitätsflag für Beobachtung von Glatteis,code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
nebel,Nebel Indikator,Beobachtung von Nebel,bool,"[{'key': 0, 'value': 'nein'}, {'key': 1, 'value': 'ja'}]"
nebel_flag,Qualitätsflag für Nebel Indikator,Qualitätsflag für Beobachtung von Nebel,code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
p_i,Luftdruck zum Beobachtungstermin I,Luftdruck zum Beobachtungstermin I (06 UTC),hPa,
p_i_flag,Qualitätsflag für Luftdruck zum Beobachtungstermin I,Qualitätsflag für Luftdruck zum Beobachtungstermin I (06 UTC),code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
p_ii,Luftdruck zum Beobachtungstermin II,Luftdruck zum Beobachtungstermin II (13 UTC),hPa,
p_ii_flag,Qualitätsflag für Luftdruck zum Beobachtungstermin II,Qualitätsflag für Luftdruck zum Beobachtungstermin II (13 UTC),code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
p_iii,Luftdruck zum Beobachtungstermin III,"Luftdruck zum Beobachtungstermin III (18 UTC, vor 1971: 21 UHR MOZ)",hPa,
