id,Synopstationsnummer,Stationsname,Länge [°E],Breite [°N],Höhe [m],Startdatum,Enddatum,Bundesland,Sonnenschein,Globalstrahlung,Synop,Verknüpfungsnummer,Startdatum Teilzeitreihe,Enddatum Teilzeitreihe,zusammengesetzt
2401,11335,Laa an der Thaya Kläranlage,16.38972,48.73139,184.0,2006-12-18 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,152,2008-01-01 00:00:00+00:00,,nein
2410,,Oberleis,16.370001,48.559444,420.0,1948-01-01 00:00:00+00:00,1997-08-31 00:00:00+00:00,Niederösterreich,False,False,,67,1948-01-01 00:00:00+00:00,1997-08-31 23:59:59+00:00,nein
2415,11083,Leiser Berge,16.37167,48.55889,456.5,1998-04-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,67,1998-04-01 00:00:00+00:00,,nein
2422,,Mistelbach an der Zaya,16.583334,48.583332,230.0,1984-01-01 00:00:00+00:00,1993-12-31 00:00:00+00:00,Niederösterreich,False,False,,,,,nein
2430,11332,Mistelbach,16.60944,48.57083,191.0,2004-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,False,,,,,nein
2500,,Poysdorf,16.63333,48.66667,208.0,1965-11-01 00:00:00+00:00,1988-12-31 00:00:00+00:00,Niederösterreich,True,False,,70,1965-11-01 00:00:00+00:00,1988-12-31 23:59:59+00:00,nein
2502,,Poysdorf,16.63333,48.66667,209.0,1989-01-01 00:00:00+00:00,1991-12-31 00:00:00+00:00,Niederösterreich,True,False,,70,1989-01-01 00:00:00+00:00,1991-12-31 23:59:59+00:00,nein
2503,11032,Poysdorf Ost,16.6375,48.66917,198.0,1991-12-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,70,1992-01-01 00:00:00+00:00,,nein
2510,,Wilfersdorf,16.65,48.583332,192.0,1936-01-01 00:00:00+00:00,1983-11-30 00:00:00+00:00,Niederösterreich,False,False,,,,,nein
2600,,Hohenau an der March,16.904444,48.617222,155.0,1948-01-01 00:00:00+00:00,2007-12-31 00:00:00+00:00,Niederösterreich,True,False,,158,1948-01-01 00:00:00+00:00,2007-06-30 23:59:59+00:00,nein
2601,11333,Hohenau,16.90444,48.61639,153.8,2007-04-01 00:00:00+00:00,2022-03-01 00:00:00+00:00,Niederösterreich,True,True,,158,2007-07-01 00:00:00+00:00,2022-02-28 08:20:59+00:00,nein
2602,11333,Hohenau,16.913055,48.605835,150.0,2022-03-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,158,2022-03-02 00:00:00+00:00,,nein
2900,,Reichersberg,13.37,48.336113,350.0,1948-10-01 00:00:00+00:00,2008-09-30 00:00:00+00:00,Oberösterreich,True,False,,159,1948-10-01 00:00:00+00:00,2008-06-30 23:59:59+00:00,nein
2901,,Reichersberg,13.366667,48.333332,335.0,1936-01-01 00:00:00+00:00,1949-06-30 00:00:00+00:00,Oberösterreich,False,False,,159,1936-01-01 00:00:00+00:00,1948-09-30 23:59:59+00:00,nein
2902,11004,Reichersberg,13.37611,48.33111,351.0,2008-06-25 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,159,2008-07-01 00:00:00+00:00,,nein
2910,11055,Schärding,13.43453,48.46428,306.7,1992-12-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,,,,nein
3110,,Waizenkirchen,13.864722,48.326668,400.0,1948-01-01 00:00:00+00:00,2008-09-30 00:00:00+00:00,Oberösterreich,False,False,,160,1948-01-01 00:00:00+00:00,2008-06-30 23:59:59+00:00,nein
3111,11058,Waizenkirchen,13.86458,48.32656,400.2,2008-06-25 00:00:00+00:00,2025-07-22 00:00:00+00:00,Oberösterreich,True,True,,160,2008-07-01 00:00:00+00:00,2025-07-22 09:00:00+00:00,nein
3120,,Aschach,14.016666,48.383335,282.0,1960-01-01 00:00:00+00:00,1994-12-31 00:00:00+00:00,Oberösterreich,False,True,,,,,nein
3200,,Linz Stadt,14.283334,48.299999,263.0,1974-12-10 00:00:00+00:00,1992-06-30 00:00:00+00:00,Oberösterreich,False,False,,56,1974-12-10 00:00:00+00:00,1992-06-30 23:59:59+00:00,nein
3202,11060,Linz Stadt,14.28528,48.29639,262.0,1992-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,56,1992-07-01 00:00:00+00:00,,nein
3210,,Reichenau (Oberösterreich),14.3475,48.457222,685.0,1972-10-01 00:00:00+00:00,2008-12-31 00:00:00+00:00,Oberösterreich,True,False,,161,1972-10-01 00:00:00+00:00,2008-07-31 23:59:59+00:00,nein
3215,,Oberneukirchen,14.25,48.466667,800.0,1961-01-01 00:00:00+00:00,1972-12-31 00:00:00+00:00,Oberösterreich,False,False,,,,,nein
3251,,Linz Freinberg,14.266666,48.283333,380.0,1940-07-01 00:00:00+00:00,1945-02-28 00:00:00+00:00,Oberösterreich,False,False,,56,1940-07-01 00:00:00+00:00,1945-02-28 23:59:59+00:00,nein
3252,,Linz Museumstraße,14.316667,48.316666,260.0,1948-05-01 00:00:00+00:00,1971-03-31 00:00:00+00:00,Oberösterreich,False,False,,56,1948-05-21 00:00:00+00:00,1971-03-31 23:59:59+00:00,nein
3253,,Linz Urfahr,14.266666,48.299999,270.0,1947-07-01 00:00:00+00:00,1948-05-22 00:00:00+00:00,Oberösterreich,False,False,,,,,nein
3257,,Linz Weingarsthof,14.3,48.299999,258.0,1952-05-09 00:00:00+00:00,1956-03-31 00:00:00+00:00,Oberösterreich,True,False,,,,,nein
3266,,Linz Petrinum,14.266666,48.299999,304.0,1895-07-01 00:00:00+00:00,1939-02-28 00:00:00+00:00,Oberösterreich,True,False,,56,1895-07-01 00:00:00+00:00,1939-02-28 23:59:59+00:00,nein
3267,,Linz Flugplatz,14.331667,48.306667,257.0,1939-03-01 00:00:00+00:00,1940-06-30 00:00:00+00:00,Oberösterreich,False,False,,56,1939-03-01 00:00:00+00:00,1940-06-30 23:59:59+00:00,nein
3269,,Linz Wirtschaftshof,14.266666,48.299999,304.0,1971-05-01 00:00:00+00:00,1973-11-30 00:00:00+00:00,Oberösterreich,False,False,,56,1971-05-01 00:00:00+00:00,1973-11-30 23:59:59+00:00,nein
3315,11050,Reichenau im Mühlkreis,14.34556,48.45917,689.1,2008-08-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,161,2008-08-01 00:00:00+00:00,,nein
3400,,Allerheiligen,14.639722,48.304722,542.0,1974-08-01 00:00:00+00:00,2007-12-31 00:00:00+00:00,Oberösterreich,True,False,,,,,nein
3410,,Pabneukirchen,14.819445,48.31889,595.0,1946-07-01 00:00:00+00:00,2006-12-31 00:00:00+00:00,Oberösterreich,True,False,,,,,nein
3411,8989113,Pabneukirchen,14.8525,48.340833,621.0,2023-10-16 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,False,,,,,nein
3425,11057,Bad Zell,14.66361,48.355,554.4,2008-11-09 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,,,,nein
